user_id,age,income,investment_amount,risk_appetite,investment_duration
1,21,450000,30000,medium,3
2,25,800000,100000,high,5
3,29,1200000,200000,medium,7
4,34,2000000,500000,low,10
5,40,3500000,800000,low,12
6,23,600000,50000,medium,4
7,27,950000,120000,high,6
8,31,1500000,250000,medium,8
9,45,5000000,1000000,low,15
10,38,2800000,600000,medium,10
11,22,500000,40000,medium,3
12,26,900000,150000,high,6
13,30,1300000,220000,medium,7
14,35,2200000,450000,low,10
15,42,4000000,900000,low,14
16,24,650000,60000,medium,4
17,28,1100000,180000,high,6
18,32,1700000,300000,medium,8
19,47,5500000,1200000,low,16
20,36,2600000,580000,medium,11
21,29,1000000,150000,medium,5
22,33,1800000,350000,low,9
23,41,3200000,750000,low,13
24,27,850000,100000,high,5
25,39,3000000,650000,medium,12
26,45,3219451,563457,medium,11
27,33,1890455,426457,medium,9
28,49,3801234,654123,low,14
29,22,540000,110000,high,4
30,55,4500000,980000,low,18
31,31,1620000,340000,medium,7
32,28,1260000,250000,high,6
33,42,2940000,580000,low,13
34,36,2220000,440000,medium,10
35,50,3900000,850000,low,15
36,25,900000,180000,high,5
37,30,1500000,300000,medium,8
38,44,3180000,636000,medium,9
39,24,780000,156000,medium,6
40,58,4860000,1100000,low,20
41,34,1980000,396000,low,12
42,21,420000,84000,medium,4
43,29,1380000,276000,high,7
44,37,2340000,468000,medium,11
45,46,3420000,684000,low,15
46,26,1020000,204000,high,6
47,32,1740000,348000,medium,8
48,41,2820000,564000,low,14
49,52,4140000,828000,low,17
50,23,660000,132000,medium,5
51,35,2100000,420000,medium,10
52,48,3660000,732000,low,16
53,27,1140000,228000,high,5
54,39,2580000,516000,medium,12
55,43,3060000,612000,low,14
56,22,540000,108000,medium,4
57,54,4380000,876000,low,18
58,38,2460000,492000,medium,11
59,31,1620000,324000,medium,8
60,40,2700000,540000,low,13
61,25,900000,180000,high,5
62,45,3300000,660000,low,15
63,33,1860000,372000,medium,9
64,28,1260000,252000,high,6
65,51,4020000,804000,low,17
66,24,780000,156000,medium,4
67,36,2220000,444000,medium,10
68,42,2940000,588000,low,13
69,30,1500000,300000,medium,8
70,57,4740000,948000,low,19
71,21,420000,84000,medium,3
72,34,1980000,396000,low,12
73,47,3540000,708000,low,16
74,26,1020000,204000,high,6
75,39,2580000,516000,medium,11
76,44,3180000,636000,low,14
77,23,660000,132000,medium,5
78,53,4260000,852000,low,18
79,32,1740000,348000,medium,8
80,29,1380000,276000,high,7
81,49,3780000,756000,low,16
82,35,2100000,420000,medium,10
83,27,1140000,228000,high,5
84,56,4620000,924000,low,19
85,38,2460000,492000,medium,11
86,22,540000,108000,medium,4
87,41,2820000,564000,low,13
88,30,1500000,300000,medium,8
89,59,4980000,996000,low,20
90,24,780000,156000,medium,5
91,37,2340000,468000,medium,10
92,46,3420000,684000,low,15
93,28,1260000,252000,high,6
94,50,3900000,780000,low,17
95,33,1860000,372000,medium,9
96,37,2363276,274188,medium,11
97,50,3925011,682017,low,17
98,60,5014128,1004910,low,10
99,25,974324,118182,medium,9
100,27,1125520,224960,high,7
